perso	nom	desc
Poco	Melodía Curativa	Poco cura a los aliados cercanos cuando usa su súper
Nita	Oso Furioso	El oso de Nita gana un 50% más de vida y daño cuando ella usa su súper
Brock	Misiles Teledirigidos	Los misiles de Brock persiguen a los enemigos cuando él usa su súper
Dynamike	Bomba Trampa	Las bombas de Dynamike dejan un área dañina en el suelo cuando él usa su súper
Tick	Cabeza Explosiva	La cabeza de Tick explota en múltiples proyectiles cuando es destruida
8-Bit	Código Máximo	8-Bit gana un 50% más de daño y velocidad de movimiento cuando usa su súper
Penny	Cañón Pirata	El cañón de Penny dispara proyectiles adicionales cuando ella usa su súper
Piper	Disparo Certero	Los disparos de Piper infligen más daño a larga distancia
Nani	Protección Energética	Nani y su objetivo ganan un escudo cuando ella usa su súper
Frank	Aturdimiento Masivo	Los enemigos cercanos a Frank quedan aturdidos cuando él usa su súper
Crow	Veneno Mortal	Los ataques de Crow envenenan a los enemigos por más tiempo
Sandy	Sueño Profundo	Sandy: Sueño Profundo - Los enemigos dormidos por Sandy permanecen dormidos por más tiempo
